,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2016-12-31
cash-on-hand,,,,,,,
other-current-assets,,,,,,0.892,0.975
total-current-assets,175.677,165.585,125.493,,,20.703,17.315
net-property-plant-equipment,3.172,1.936,1.638,,,,
long-term-investments,,,,0.0,0.0,0.0,0.0
other-long-term-assets,0.29,0.29,0.29,,,0.29,
total-long-term-assets,14.583,32.274,3.94,,,0.31,
total-assets,190.26,197.859,129.433,0.0,0.0,22.039,18.251
total-current-liabilities,,,,,,,
other-non-current-liabilities,0.464,0.455,0.434,,,0.03,
total-long-term-liabilities,0.464,0.455,0.434,,,0.03,
total-liabilities,7.624,5.812,5.899,0.0,0.0,1.261,0.966
common-stock-net,0.002,0.002,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-155.958,-144.895,-85.59,,,-26.324,-11.882
comprehensive-income,0.212,0.001,-0.106,,,,
other-share-holders-equity,,,,0.0,0.0,0.0,-0.002
total-share-holder-equity,182.636,192.047,123.534,0.0,0.0,20.778,17.285
total-liabilities-share-holders-equity,190.26,197.859,129.433,0.0,0.0,22.039,18.251
