,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31
net-income-loss,229.832,151.177,77.572,54.46,40.383,23.615,18.783,4.23,3.909
total-depreciation-amortization-cash-flow,30.018,32.313,29.864,11.268,6.105,2.774,0.89,0.407,0.219
other-non-cash-items,68.355,55.281,39.808,18.195,10.284,5.204,0.616,1.264,-0.45
total-non-cash-items,98.373,87.594,69.672,29.463,16.389,7.978,1.506,1.671,-0.231
change-in-accounts-receivable,,,,,,,,,
change-in-accounts-payable,1.822,1.396,1.113,-0.494,1.29,-1.303,1.747,0.416,0.43
change-in-assets-liabilities,62.969,40.77,34.08,41.33,41.395,26.295,20.71,7.461,5.748
total-change-in-assets-liabilities,-17.378,-5.333,-3.233,-3.769,10.802,10.16,10.51,-1.165,1.225
cash-flow-from-operating-activities,310.827,233.438,144.011,80.154,67.574,41.753,30.799,4.736,4.903
net-change-in-property-plant-equipment,-9.819,-11.367,-7.507,-21.584,-26.944,-2.977,-1.554,-1.193,-0.582
net-change-in-intangible-assets,,,,-0.568,,,,,
net-acquisitions-divestitures,,,,-126.183,,-12.149,,,
net-change-in-short-term-investments,,,,,,,,,
net-change-in-investments-total,-94.05,-143.153,-89.247,51.611,-245.095,-11.703,-14.372,,
investing-activities-other,,,,0.041,0.021,0.253,-0.438,-0.49,-0.075
cash-flow-from-investing-activities,,,,,,,,,
net-common-equity-issued-repurchased,25.91,20.773,12.362,5.885,45.936,215.266,0.575,0.049,0.887
net-total-equity-issued-repurchased,,,,,,,,,
financial-activities-other,,,25.614,13.521,25.326,0.174,,,
cash-flow-from-financial-activities,25.91,20.773,37.976,19.406,71.262,215.44,0.575,0.049,0.887
net-cash-flow,230.791,102.78,85.324,2.926,-133.254,230.617,15.01,3.102,5.133
stock-based-compensation,,,,,,,,,
